Source data 1SensorDeductionsL312112023.xlsx,2024-04-12 13:43:22,3d09e8b8-1a6d-4ba1-976b-a0b3a297ce9e
DeductionExceptions L9 01092024.xlsx,2024-04-14 14:19:10,caa02aeb-910a-4fd4-a390-68322b247757
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:39:49,467ca1bc-1a5d-40aa-a31c-78272e06654e
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:50:54,6202a07d-6db2-4cb4-aa0f-d8e123b48703
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:53:18,7d435027-4dce-4373-ab0e-291cb5d4a4f0
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:53:56,64d8fdd4-3ce1-47e2-a6b0-25387fe01170
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:54:40,e7d1bd01-5bed-4ed7-a3bc-d7cb3de5f7c5
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:56:04,118c4c0e-ef7b-4461-9b4a-a5a758d941ea
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:56:19,85794509-584b-4bed-8467-82e3deff20b5
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:56:52,5d8abfea-9120-426f-82fb-35eb43b8b447
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:56:57,8110ba5f-e973-4e13-ade1-0eff50d686be
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:57:33,5815acba-ab7c-4b03-87f5-87f250d0a21c
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:57:53,d70b94b0-c8ac-40cd-a0f3-962a9f219a58
DeductionExceptions L8 01092024.xlsx,2024-04-14 14:58:35,e640b39a-8ba0-4c8d-bf4e-d14a5d9cdfe0
